#,ZONA,ORDEN,NUM. ESC.,DEPARTAMENTO,CURSO,DIVISION,TURNO,HORAS,MA,MATERIA,DESI/ORI,BI
73,0,242283,4-083,CAPITAL,4,3,M,3,188,EDUCACIÓN Y TIC (TIC),R2208/18,RENU 01
74,0,242352,4-083,CAPITAL,4,6,V,3,368,CIENCIAS SOCIALES Y TIC (TIC),R2208/18,RENU 01
75,0.3,239735,4-084,SAN MARTIN,4,3,T,3,188,EDUCACIÓN Y TIC (TIC),R2208/18,RENU 31
76,0.3,281417,4-084,SAN MARTIN,4,6,T,3,188,EDUCACIÓN Y TIC (TIC),R2383/15,CREA 19
77,0,240207,4-085,CAPITAL,4,3,T,3,368,CIENCIAS SOCIALES Y TIC (TIC),R2208/18,RENU 27
78,0.5,179075,4-086,GUAYMALLEN,0,0,T,0,19,A.T.P. (INFORMÁTICA),R3084/15,RENU 01
79,0.5,199729,4-086,GUAYMALLEN,3,1,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R2208/18,RENU 12
80,0,241937,4-087,SAN RAFAEL,4,5,M,3,278,CIENCIAS NATURALES Y TIC (TIC),R1484/89,CORA 15
81,0,246669,4-087,SAN RAFAEL,4,6,M,3,368,CIENCIAS SOCIALES Y TIC (TIC),R1484/89,CORA 15
82,0.3,201729,4-089,SAN MARTIN,3,1,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,TRAS 01
83,0.3,283904,4-089,SAN MARTIN,3,5,T,5,82,PROCESAMIENTO DIGITAL,R0096/21,CREA 25
84,0.3,254022,4-089,SAN MARTIN,5,3,T,4,78,ARQUITECTURA DE HARDWARE,R2383/15,PLAN 01
85,0.3,254023,4-089,SAN MARTIN,5,3,T,3,79,SISTEMAS DIGITALES Y REDES,R2383/15,PLAN 01
86,0,241302,4-091,LUJAN,4,5,M,3,368,CIENCIAS SOCIALES Y TIC (TIC),R1487/21,BAJA 16
87,0,202988,4-092,CAPITAL,3,1,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R2208/18,BAJA 25
88,0.7,238147,4-093,SAN MARTIN,4,3,T,3,278,CIENCIAS NATURALES Y TIC (TIC),R1139/17,RENU 01
89,0.7,240870,4-096,RIVADAVIA,4,2,T,3,188,EDUCACIÓN Y TIC (TIC),R1484/89,COTC 15
90,0.5,50786,4-102,SAN RAFAEL,0,0,T,0,20,M.E.P. (INFORMÁTICA),R0440/97,CREA 02
91,0,248451,4-104,LUJAN,3,1,T,4,24,TECNOLOGÍA DE LA INFORMACIÓN Y LA COMUNICACIÓN,R2022/18,RENU 21
92,0,279000,4-104,LUJAN,3,5,T,4,24,TECNOLOGÍA DE LA INFORMACIÓN Y LA COMUNICACIÓN,R0077/18,CREA 26
93,0.7,216235,4-107,TUNUYAN,3,2,T,4,24,TECNOLOGÍA DE LA INFORMACIÓN Y LA COMUNICACIÓN,R1484/89,COTA 15
94,0.7,281285,4-107,TUNUYAN,3,5,T,4,24,TECNOLOGÍA DE LA INFORMACIÓN Y LA COMUNICACIÓN,R1484/89,CORC 15
95,0,182209,4-108,MAIPU,0,0,M,0,20,M.E.P. (INFORMÁTICA),R2208/18,BAJA 27
96,0,282795,4-108,MAIPU,3,5,M,4,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R1484/89,CORC 15
97,0,29078,4-109,GODOY CRUZ,0,0,M,0,20,M.E.P. (INFORMÁTICA),R0000/00,RENU
98,0.7,29633,4-110,JUNIN,0,0,N,0,20,M.E.P. (INFORMÁTICA),R0378/17,RENU 02
99,0,29866,4-111,CAPITAL,0,0,M,0,19,A.T.P. (INFORMÁTICA),R2208/18,RENU 12
100,0.3,248477,4-112,LAS HERAS,3,4,T,4,24,TECNOLOGÍA DE LA INFORMACIÓN Y LA COMUNICACIÓN,R1484/89,TRAS 01
101,0,200484,4-115,GUAYMALLEN,3,2,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1487/21,BAJA 16
102,0,200552,4-115,GUAYMALLEN,3,3,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1141/17,RENU 06
103,0,286703,4-115,GUAYMALLEN,5,3,T, ,193,TALLER DE GRUPOS Y REDES SOCIALES (TIC),/,
104,0,43037,4-117,SAN RAFAEL,0,0,A,0,20,M.E.P. (INFORMÁTICA),R1689/14,RENU 01
105,0.3,182532,4-120,SAN MARTIN,0,0,M,0,20,M.E.P. (INFORMÁTICA),R1484/89,COTA 15
